Item,Familia,Year,Production_t,Production_t,AreaHarvested_ha,Yield_hg_ha,Production_lag1,Production_lag2,Production_lag3,Production_ma3,Production_ma5,Production_yoy_growth_pct,Production_trend_slope5,Production_vol_std5,Production_vol_cv5
Asparagus,Hortalizas,2024,8909741.75,8909741.75,1569410.0,5677.1,8894295.84,8892225.69,8839042.68,8875188.069999998,8812449.208,0.1736608527291849,58968.281999998886,99557.16391413887,0.0112973319407912
"Other fibre crops, raw, n.e.c.",Fibras,2024,659966.83,659966.83,529302.0,1246.9,655035.61,639172.75,670329.73,654846.0299999999,634597.7019999999,0.7528170873030815,27292.46999999995,100928.82063376516,0.1590437852448529
"Lentils, dry",Legumbres,2024,7887380.07,7887380.07,6422085.0,1228.2,6785216.78,7491243.11,5755446.43,6677302.106666666,6551107.63,16.243597304786483,234003.7759999996,690672.6800079396,0.1054283823463818
Eggplants (aubergines),Hortalizas,2024,57540107.87,57540107.87,1961377.0,29336.6,57269972.57,57483577.92,57079894.9,57277815.13,57008096.808000006,0.4716874967415352,182710.27599999504,480874.5979506042,0.0084351982415789
Carrots and turnips,Hortalizas,2024,45149159.53,45149159.53,1267440.0,35622.3,44297247.25,44730316.82,44217150.48,44414904.85,43905169.904,1.9231720544440776,366543.34599999606,743998.8025185453,0.0169455853182056
"Chestnuts, in shell",Oleaginosas y frutos secos,2024,2098054.98,2098054.98,548617.0,3824.3,2095810.63,2088735.28,2095637.92,2093394.61,2094059.58,0.1070874423420686,2061.9999999997312,18232.72833518309,0.0087068813654208
"Onions and shallots, dry (excluding dehydrated)",Hortalizas,2024,108260011.29,108260011.29,5719714.0,18927.5,111359413.65,111842449.52,108033891.3,110411918.15666668,107446180.366,-2.7832423487262115,2782063.140999992,4601898.345555165,0.0428297993458628
Cantaloupes and other melons,Frutas,2024,28249767.66,28249767.66,1042681.0,27093.4,28303648.77,28631367.88,28463651.7,28466222.78333333,28051713.204,-0.1903680703426169,309922.9759999984,588980.7091522996,0.0209962473546291
"Peppermint, spearmint",Estimulantes y especias,2024,32648.73,32648.73,1710.0,19097.5,35532.27,50608.04,37965.65,41368.65333333333,49339.72,-8.115270991692892,-7511.056000000004,15330.23240491313,0.310707730098856
Persimmons,Frutas,2024,5033619.39,5033619.39,1216373.0,4138.2,5004157.85,4974494.37,4693369.97,4890674.063333333,4699965.786,0.5887412204633069,183267.0819999999,295116.9753335536,0.0627913029096151
Soya beans,Oleaginosas y frutos secos,2024,397671688.56,397671688.56,143175353.0,2777.5,370876094.01,355756517.03,373108914.37,366580508.47,358282259.74,7.224945199427579,7152044.010999956,15491470.44883548,0.043238173333163
"Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.c.",Oleaginosas y frutos secos,2024,1090112.55,1090112.55,959129.0,1136.6,1106262.58,1103892.54,1098434.47,1102863.1966666663,1089460.91,-1.45987311619995,12840.60099999994,23368.012404640205,0.0214491517686854
Fonio,Cereales,2024,688231.98,688231.98,974592.0,706.2,690180.21,659326.34,665418.32,671641.6233333333,662295.3699999999,-0.2822784501456454,10793.438999999964,19565.02568077672,0.0295412387992033
Figs,Frutas,2024,1336540.71,1336540.71,301486.0,4433.2,1313170.97,1280213.86,1312269.3,1301884.71,1324657.4260000002,1.779641839021151,-13221.882000000149,43107.750855073726,0.0325425653523447
"Abaca, manila hemp, raw",Fibras,2024,108560.75,108560.75,166345.0,652.6,107128.96,108074.9,102405.99,105869.95,108312.83,1.336510687679593,-1467.901000000013,4047.772278086936,0.037371124714283
Wheat,Cereales,2024,798481711.07,798481711.07,219518805.0,3637.4,794567417.02,807987812.25,783124200.41,795226476.56,784423901.484,0.4926320871148304,10003897.950999953,18026186.03711858,0.0229801590734499
Natural rubber in primary forms,Otros / industriales,2024,14829085.3,14829085.3,13222162.0,1121.5,14631998.01,14652711.66,14687911.71,14657540.46,14533183.407999998,1.3469608857608062,77493.8419999977,185957.11510065012,0.0127953463381111
Watermelons,Frutas,2024,104959426.09,104959426.09,3053191.0,34377.0,104408251.34,103180925.05,102702687.85,103430621.41333334,103365638.66,0.5279034395520465,327297.7829999965,989021.644270152,0.0095681858796745
